"","V1","V2","V3"
"(Intercept)",0.0226038580535848,0.0222400589523801,0.022973608118603
"Kilometres1",1.78009718923665,1.73600271065803,1.82531166781825
"Kilometres3",1.23709712466504,1.21899475565979,1.25546831825882
"Kilometres4",1.37787595135306,1.35470096012576,1.40144739924068
"Kilometres5",1.49949656609066,1.46451981684957,1.53530865601707
"Zone1",1.78915314760315,1.75906908865051,1.81975171198875
"Zone2",1.41006912144014,1.38580392928803,1.43475919299816
"Zone3",1.21589060052862,1.19455891426114,1.23760321471317
"Zone5",1.29153937648656,1.25629387594718,1.32777369447706
"Zone6",1.05741244077276,1.03415028258993,1.08119785753072
"Zone7",0.861344687478713,0.795534790595133,0.932598648630792
"Bonus1",3.76998611870212,3.7064141153322,3.83464850201522
"Bonus2",2.33517966471284,2.28657686927967,2.38481554665871
"Bonus3",1.88507200473539,1.8403533970344,1.93087722649537
"Bonus4",1.64840952549196,1.6057391285523,1.69221383188341
"Bonus5",1.49428380641154,1.4576463274509,1.53184215680669
"Bonus6",1.39640393934303,1.36931270415202,1.42403116242194
"Make1",1.0697018833617,1.04908849063208,1.09072030575623
"Make2",1.15437665212978,1.11119733656688,1.19923384544772
"Make3",0.83515932318534,0.797392723413148,0.874714647655506
"Make4",0.556631367137538,0.532675874653161,0.581664185717343
"Make5",1.24898383841143,1.20496229283526,1.29461364715602
"Make6",0.764812879342331,0.742592554312312,0.787698095020084
