"","post","follower","following","like","self","gender"
"1",1231,1477,53,35,3,"m"
"2",2056,606,130,160,1,"f"
"3",7355,4285,943,1252,1,"m"
"4",681,1238,50,33,1,"m"
"5",2864,447,94,94,1,"m"
"6",6046,1244,84,69,1,"m"
"7",409,430,37,24,5,"f"
"8",1364,1150,241,240,9,"f"
"9",391,175,33,30,9,"m"
"10",775,712,99,61,5,"f"
"11",2425,1349,164,97,9,"f"
"12",5263,153,166,127,9,"f"
"13",2625,852,362,366,9,"m"
"14",536,190,91,56,7,"f"
"15",891,348,140,158,9,"f"
"16",1432,811,245,205,9,"m"
"17",2574,815,109,80,7,"m"
"18",897,765,121,139,9,"m"
"19",350,95,43,34,1,"m"
"20",562,533,8,9,1,"m"
"21",1214,260,228,84,3,"m"
"22",4869,3898,339,297,7,"m"
"23",323,193,71,82,9,"f"
"24",1557,1686,381,446,3,"m"
"25",4198,642,838,480,9,"f"
"26",385,331,47,71,5,"m"
"27",117,120,17,13,1,"f"
"28",1812,828,102,138,1,"m"
"29",4258,2944,205,288,7,"m"
"30",93,210,5,4,7,"f"
"31",127,499,8,16,9,"f"
"32",1603,531,28,46,5,"f"
"33",460,2822,6,5,9,"f"
"34",407,5108,10,5,7,"m"
"35",2282,7499,57,67,9,"f"
"36",2692,6353,99,75,7,"f"
"37",200,210,138,74,9,"f"
"38",565,169,168,82,7,"f"
"39",2094,4406,18,15,5,"f"
"40",2204,2560,189,208,3,"f"
"41",8766,2611,1620,872,9,"m"
"42",9772,11,261,450,1,"m"
"43",603,885,8,19,3,"f"
"44",529,1784,72,33,5,"m"
"45",186,561,15,8,1,"m"
"46",409,806,32,29,3,"m"
"47",189,690,7,4,9,"f"
"48",1041,449,61,57,7,"m"
"49",7286,6609,602,501,9,"f"
"50",1021,5959,104,81,7,"f"
"51",5749,5000,670,735,1,"m"
"52",2163,3077,66,61,9,"f"
"53",192,422,28,49,7,"f"
"54",130,371,13,10,7,"m"
"55",258,409,7,8,9,"f"
"56",1330,7500,23,37,3,"m"
"57",2283,2125,96,41,5,"f"
"58",744,2375,25,60,3,"m"
"59",139,223,10,7,9,"f"
"60",396,1613,4,2,9,"m"
"61",330,1706,19,18,5,"f"
"62",118,430,3,3,9,"m"
"63",329,1206,11,13,9,"f"
"64",1374,1947,19,32,3,"f"
"65",401,1784,2,14,9,"m"
"66",134,153,7,11,9,"f"
"67",2352,248,274,281,9,"f"
"68",320,559,14,20,9,"m"
"69",359,1110,25,19,9,"m"
"70",408,1936,9,11,1,"m"
"71",340,229,57,68,3,"m"
"72",110,78,14,24,1,"f"
"73",102,164,5,4,1,"f"
"74",178,381,8,8,7,"m"
"75",5053,5457,131,157,9,"m"
"76",851,2873,68,35,3,"f"
"77",239,1626,4,26,9,"m"
"78",654,3373,44,61,3,"f"
"79",1421,4039,11,20,1,"f"
"80",309,789,18,30,7,"m"
"81",2013,992,123,86,1,"f"
"82",3423,6332,66,69,1,"f"
"83",357,3082,17,14,1,"f"
