"","Kilometres","Zone","Bonus","Make","Insured","Claims","Payment"
"1","1","1","1","1",39.38,8,19055
"2","1","1","1","2",33.22,14,70516
"3","1","1","1","3",25.94,6,12853
"4","1","1","1","4",4.97,0,0
"5","1","1","1","5",5.83,1,5315
"6","1","1","1","6",10.55,2,14735
"7","1","1","1","7",656.72,178,808500
"8","1","1","2","1",40.03,7,53251
"9","1","1","2","2",31.2,8,64325
"10","1","1","2","3",40.44,6,51965
"11","1","1","2","4",4.58,1,8390
"12","1","1","2","5",10.55,0,0
"13","1","1","2","6",20.21,2,8498
"14","1","1","2","7",714.54,124,537382
"15","1","1","3","1",54.57,8,17149
"16","1","1","3","2",36.47,8,46332
"17","1","1","3","3",32.03,6,42364
"18","1","1","3","4",4.03,0,0
"19","1","1","3","5",11.06,0,0
"20","1","1","3","6",18.96,1,1000
"21","1","1","3","7",641.37,105,571836
"22","1","1","4","1",61.37,3,67055
"23","1","1","4","2",40.59,5,18027
"24","1","1","4","3",32,0,0
"25","1","1","4","4",2.43,0,0
"26","1","1","4","5",16.54,1,1725
"27","1","1","4","6",20.67,3,10781
"28","1","1","4","7",648.49,85,457107
"29","1","1","5","1",92.05,11,18385
"30","1","1","5","2",65.64,10,47270
"31","1","1","5","3",58.99,5,40553
"32","1","1","5","4",1.57,0,0
"33","1","1","5","5",18.46,2,8860
"34","1","1","5","6",22.92,1,1845
"35","1","1","5","7",854.27,115,466675
"36","1","1","6","1",183.54,8,30510
"37","1","1","6","2",116.62,15,66600
"38","1","1","6","3",115.02,11,56739
"39","1","1","6","4",4.61,0,0
"40","1","1","6","5",42.25,4,6990
"41","1","1","6","6",47.19,4,4778
"42","1","1","6","7",1702.43,163,761336
"43","1","1","7","1",717.63,47,208573
"44","1","1","7","2",401.42,35,150942
"45","1","1","7","3",439.61,30,266009
"46","1","1","7","4",21.22,1,2000
"47","1","1","7","5",145.24,9,53228
"48","1","1","7","6",182.52,9,15099
"49","1","1","7","7",5827.73,435,2289605
"50","1","2","1","1",43.32,4,13238
"51","1","2","1","2",21.67,5,8608
"52","1","2","1","3",21.83,1,2495
"53","1","2","1","4",6.92,2,5307
"54","1","2","1","5",9.75,1,6866
"55","1","2","1","6",20.25,0,0
"56","1","2","1","7",460.27,87,438695
"57","1","2","2","1",53.04,10,68513
"58","1","2","2","2",26.38,4,8435
"59","1","2","2","3",29.54,3,8813
"60","1","2","2","4",6.84,0,0
"61","1","2","2","5",11.94,2,3694
"62","1","2","2","6",27.82,2,4249
"63","1","2","2","7",594.93,77,304867
"64","1","2","3","1",71.9,8,51707
"65","1","2","3","2",31.96,6,25061
"66","1","2","3","3",28.18,3,34674
"67","1","2","3","4",5.98,0,0
"68","1","2","3","5",10.02,2,2855
"69","1","2","3","6",22.94,1,8000
"70","1","2","3","7",642.08,66,232603
"71","1","2","4","1",75.09,3,12022
"72","1","2","4","2",39.02,2,3970
"73","1","2","4","3",26.66,1,1467
"74","1","2","4","4",4.81,0,0
"75","1","2","4","5",14.32,0,0
"76","1","2","4","6",38.4,1,31442
"77","1","2","4","7",738.65,95,459869
"78","1","2","5","1",122,2,13341
"79","1","2","5","2",49.82,4,38056
"80","1","2","5","3",56.86,0,0
"81","1","2","5","4",4.69,0,0
"82","1","2","5","5",25.1,1,31442
"83","1","2","5","6",38.73,3,3731
"84","1","2","5","7",1061.91,92,563868
"85","1","2","6","1",276.21,24,84068
"86","1","2","6","2",121.45,12,40273
"87","1","2","6","3",140.3,11,72080
"88","1","2","6","4",5.76,0,0
"89","1","2","6","5",64.51,7,110527
"90","1","2","6","6",71.49,3,4822
"91","1","2","6","7",2235.31,178,668053
"92","1","2","7","1",1110.45,65,373173
"93","1","2","7","2",484.99,43,139960
"94","1","2","7","3",611.99,34,157871
"95","1","2","7","4",31.88,0,0
"96","1","2","7","5",254.68,20,147025
"97","1","2","7","6",313.88,16,102075
